timestampMicros,label,intensity
108633040,P1_fallback,0.2
110000931,P2_detected,0.2
110133620,P1_detected,0.2
110183639,P1_fallback,0.2
111700728,P1_fallback,0.2
111733227,P1_fallback,0.2
111999938,P2_detected,0.2
113249911,P1_detected,0.2
113300108,P1_fallback,0.2
114000529,P2_detected,0.2
114816868,P1_fallback,0.2
114850307,P1_fallback,0.2
116000282,P2_detected,0.2
116366813,P1_fallback,0.2
116416709,P1_fallback,0.2
117933894,P1_fallback,0.2
117967345,P1_fallback,0.2
118000216,P2_detected,0.2
119483398,P1_fallback,0.2
119533887,P1_fallback,0.2
120000208,P2_detected,0.2
121033802,P1_detected,0.2
121083608,P1_fallback,0.2
122000352,P2_detected,0.2
122600004,P1_fallback,0.2
122633548,P1_fallback,0.2
124000296,P2_detected,0.2
124151799,P1_detected,0.2
124200244,P1_fallback,0.2
125717109,P1_fallback,0.2
125750464,P1_fallback,0.2
126000310,P2_detected,0.2
127267153,P1_detected,0.2
127317380,P1_fallback,0.2
128000468,P2_detected,0.2
128833205,P1_fallback,0.2
128863206,P1_fallback,0.2
130000225,P2_detected,0.2
130379869,P1_detected,0.2
130429821,P1_fallback,0.2
131946472,P1_fallback,0.2
131979762,P1_fallback,0.2
131996546,P2_fallback,0.2
133496531,P1_detected,0.2
133546498,P1_fallback,0.2
133996477,P2_detected,0.2
135063121,P1_fallback,0.2
135096446,P1_fallback,0.2
135996595,P2_detected,0.2
136613143,P1_fallback,0.2
136663059,P1_fallback,0.2
137996448,P2_detected,0.2
138179683,P1_fallback,0.2
138213082,P1_fallback,0.2
139729611,P1_fallback,0.2
139779471,P1_fallback,0.2
139996508,P2_detected,0.2
141279444,P1_detected,0.2
141329648,P1_fallback,0.2
141996155,P2_detected,0.2
142846067,P1_fallback,0.2
142879399,P1_fallback,0.2
143996149,P2_detected,0.2
144396151,P1_detected,0.2
144446019,P1_fallback,0.2
145962770,P1_fallback,0.2
145996141,P1_fallback,0.2
145996141,P2_fallback,0.2
147512499,P1_detected,0.2
147563293,P1_fallback,0.2
147995958,P2_detected,0.2
