timestampMicros,label,intensity
2707848,synthetic,0.891068
3576539,synthetic,0.764494
4442595,synthetic,0.525593
5309312,synthetic,0.247727
6176947,synthetic,0.016734
7056810,synthetic,0
7950521,synthetic,0
8857284,synthetic,0.148982
9404789,detected,0.2
10177662,detected,0.2
10978157,detected,0.2
12351861,detected,0.2
13018827,detected,0.2
13485730,detected,0.2
13992873,detected,0.2
14616709,detected,0.2
16349955,detected,0.219077
17216611,detected,0.2
17983188,detected,0.2
18483204,detected,0.2
19616500,detected,0.2
20266458,detected,0.2
21099756,detected,0.2
23249674,detected,0.2
23783077,detected,0.2
25166241,detected,0.2
26616199,detected,0.2
27766202,detected,0.352041
31116048,detected,0.2
31599320,detected,0.2
32632647,detected,0.2
33365938,detected,0.2
33832558,detected,0.2
34615928,detected,0.2
35382524,detected,0.2
36115824,detected,0.2
41465619,detected,0.2
43198859,detected,0.2
49182024,detected,0.2
51781889,detected,0.2
54965111,detected,0.2
56098332,detected,0.2
56915088,detected,0.2
57781836,detected,0.2
58281639,detected,0.2
59481592,detected,0.2
60064899,detected,0.2
60964878,detected,0.2
62036739,detected,0.2
62917331,detected,0.2
63781515,detected,0.2
65398063,detected,0.2
66297929,detected,0.2
67131745,detected,0.2
67981363,detected,0.2
68864570,detected,0.2
69747836,detected,0.2
70564450,detected,0.2
71934001,detected,0.2
72964365,detected,0.2
73764376,detected,0.2
74581043,detected,0.2
75347580,detected,0.2
76197569,detected,0.2
77064201,detected,0.2
78131062,synthetic,0.648313
79164130,synthetic,0.864408
80197397,synthetic,0.878831
81214041,synthetic,0.689682
81547499,detected,0.2
81547499,detected,0.2
81547499,detected,0.2
81547499,detected,0.2
82164051,detected,0.2
83013945,detected,0.2
83814022,detected,0.2
84680568,detected,0.2
86313858,detected,0.2
87163788,detected,0.2
88030436,detected,0.2
89713674,detected,0.2
90580357,detected,0.2
91430281,detected,0.2
93113545,detected,0.2
93963533,detected,0.2
98946665,detected,0.2
100846578,detected,0.2
104163105,detected,0.2
104996404,detected,0.2
106129667,detected,0.2
106663007,detected,0.2
107462958,detected,0.2
108296287,detected,0.2
109112907,detected,0.2
109912903,detected,0.2
116146081,synthetic,0.448289
116612715,detected,0.2
118495858,detected,0.2
121612473,detected,0.2
122079017,detected,0.2
123345643,detected,0.2
123929296,detected,0.2
144133131,detected,0.2
144649822,detected,0.2
145366109,detected,0.2
145982915,detected,0.2
147099947,detected,0.2
147766846,detected,0.2
149532940,detected,0.2
150482804,detected,0.2
154277781,detected,0.2
160327624,synthetic,0.142761
161360883,synthetic,0
162410775,synthetic,0
